               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.054838,             0.02321,             0.10912,           0.0065562,             0.95597,            0.022621,            0.014309,            0.026306,           0.0061636,            0.084267,            0.070084,            0.003324,            0.003324
                   1,            0.032168,            0.015648,             0.10405,           0.0089139,             0.99107,            0.040746,            0.029115,            0.019031,           0.0045175,             0.08042,            0.039952,           0.0065255,           0.0065255
                   2,            0.030497,            0.014507,            0.099228,             0.57228,             0.20625,            0.093217,             0.06542,            0.019715,           0.0049015,            0.071508,           0.0096884,            0.009595,            0.009595
                   3,            0.029633,            0.014167,            0.087615,             0.32781,             0.32285,             0.15973,             0.12101,            0.019209,           0.0054644,            0.062962,            0.009406,            0.009406,            0.009406
                   4,            0.028271,            0.013849,            0.076752,              0.4342,             0.39011,             0.27455,             0.20765,            0.021649,           0.0074791,            0.057859,            0.009406,            0.009406,            0.009406
                   5,             0.02776,            0.013753,             0.06718,             0.49441,             0.59056,             0.53286,             0.41795,            0.017462,            0.004635,            0.043897,            0.009208,            0.009208,            0.009208
                   6,            0.028305,            0.013448,            0.056514,             0.53876,             0.66764,             0.64527,             0.51093,            0.017754,           0.0046737,            0.037642,             0.00901,             0.00901,             0.00901
                   7,            0.028975,            0.013353,            0.047481,             0.70743,             0.80785,             0.82626,             0.64555,            0.018246,           0.0046122,            0.025478,            0.008812,            0.008812,            0.008812
                   8,            0.029529,             0.01327,            0.039542,             0.67898,             0.84724,             0.84215,             0.66339,            0.016893,           0.0044605,            0.023281,            0.008614,            0.008614,            0.008614
                   9,            0.029161,            0.013116,            0.034292,             0.72978,             0.84125,              0.8622,             0.68741,            0.016814,            0.004582,             0.02063,            0.008416,            0.008416,            0.008416
                  10,             0.02906,            0.013071,            0.029785,             0.81392,             0.92228,             0.92899,             0.76028,            0.016384,           0.0043559,            0.014168,            0.008218,            0.008218,            0.008218
                  11,            0.028729,            0.012774,            0.026326,             0.84913,             0.91488,             0.93944,             0.77274,            0.015645,           0.0043194,            0.012445,             0.00802,             0.00802,             0.00802
                  12,            0.028273,            0.012761,            0.024396,             0.88105,             0.92866,             0.95768,              0.7932,            0.015794,           0.0041424,            0.010783,            0.007822,            0.007822,            0.007822
                  13,              0.0277,            0.012662,            0.021928,             0.90774,             0.95276,             0.97173,             0.80805,            0.015839,           0.0041349,           0.0078547,            0.007624,            0.007624,            0.007624
                  14,            0.027621,            0.012482,            0.020006,             0.92005,             0.94619,             0.97003,             0.82065,            0.014828,           0.0040303,           0.0077153,            0.007426,            0.007426,            0.007426
                  15,            0.026957,            0.012349,              0.0183,             0.93401,             0.96404,             0.97976,             0.83602,            0.014287,           0.0040237,           0.0060126,            0.007228,            0.007228,            0.007228
                  16,            0.026443,            0.012257,            0.018301,             0.91059,             0.93013,             0.96805,             0.81339,            0.014989,           0.0043542,           0.0085949,             0.00703,             0.00703,             0.00703
                  17,            0.026109,            0.012223,             0.01628,             0.93777,             0.98364,             0.98377,             0.85888,             0.01326,           0.0037254,           0.0046645,            0.006832,            0.006832,            0.006832
                  18,            0.025838,            0.012065,            0.015296,             0.92705,             0.97337,             0.98037,             0.85332,            0.013066,            0.003762,           0.0047077,            0.006634,            0.006634,            0.006634
                  19,            0.025299,            0.012023,            0.014556,             0.93269,             0.98165,             0.98408,             0.86684,            0.013077,           0.0036445,           0.0045233,            0.006436,            0.006436,            0.006436
                  20,            0.024812,            0.011838,            0.013387,             0.93215,             0.98564,             0.98573,             0.86827,            0.013114,           0.0037367,           0.0045435,            0.006238,            0.006238,            0.006238
                  21,            0.024395,            0.011821,            0.012644,             0.94813,              0.9787,             0.98683,             0.88942,            0.011999,           0.0035374,           0.0034667,             0.00604,             0.00604,             0.00604
                  22,            0.023922,            0.011566,            0.012166,             0.93458,             0.98895,             0.98564,             0.88456,            0.011597,           0.0034186,           0.0035615,            0.005842,            0.005842,            0.005842
                  23,            0.023645,            0.011447,            0.011616,             0.96197,             0.97634,             0.98629,             0.89123,            0.011441,           0.0033841,           0.0038135,            0.005644,            0.005644,            0.005644
                  24,            0.023317,             0.01133,            0.010967,              0.9462,             0.98705,             0.98656,             0.89366,            0.011335,           0.0034659,            0.003441,            0.005446,            0.005446,            0.005446
                  25,             0.02272,            0.011183,            0.010711,             0.94581,             0.98638,             0.98797,             0.89761,            0.011192,           0.0032758,           0.0032946,            0.005248,            0.005248,            0.005248
                  26,            0.022509,            0.011082,            0.010341,             0.95451,             0.98625,             0.98928,             0.90755,            0.010702,           0.0031675,           0.0032854,             0.00505,             0.00505,             0.00505
                  27,            0.022141,            0.011024,            0.010071,             0.96332,              0.9839,             0.98888,             0.90871,            0.010612,           0.0031635,           0.0026553,            0.004852,            0.004852,            0.004852
                  28,            0.021778,            0.010836,           0.0096018,             0.96212,              0.9832,             0.98947,             0.91253,            0.010295,             0.00321,           0.0028718,            0.004654,            0.004654,            0.004654
                  29,             0.02134,             0.01069,           0.0089793,              0.9578,             0.98698,             0.98942,             0.91653,            0.010076,           0.0031317,           0.0027587,            0.004456,            0.004456,            0.004456
                  30,            0.020754,            0.010618,           0.0084684,             0.96213,             0.98639,             0.99045,             0.92042,            0.010103,            0.003057,           0.0028893,            0.004258,            0.004258,            0.004258
                  31,            0.020587,            0.010474,           0.0085606,             0.97097,              0.9872,             0.99049,             0.92859,           0.0093432,           0.0029438,           0.0026658,             0.00406,             0.00406,             0.00406
                  32,            0.020312,            0.010453,           0.0076834,              0.9659,             0.98758,             0.99017,             0.92823,           0.0095099,           0.0029684,           0.0026051,            0.003862,            0.003862,            0.003862
                  33,            0.019795,            0.010246,           0.0071428,             0.96578,             0.98635,              0.9898,             0.92944,           0.0092332,           0.0029256,           0.0025239,            0.003664,            0.003664,            0.003664
                  34,             0.01943,            0.010246,           0.0073727,             0.97086,             0.98694,              0.9912,             0.93349,           0.0092117,           0.0028865,           0.0025344,            0.003466,            0.003466,            0.003466
                  35,            0.018802,            0.010069,            0.006794,             0.97645,              0.9825,             0.99077,             0.93611,           0.0089728,           0.0028659,           0.0023163,            0.003268,            0.003268,            0.003268
                  36,            0.018445,           0.0098634,           0.0064955,              0.9705,             0.98373,              0.9907,             0.94068,           0.0086431,           0.0027577,           0.0024868,             0.00307,             0.00307,             0.00307
                  37,            0.018041,           0.0098596,           0.0060162,              0.9714,             0.98655,             0.99094,              0.9431,           0.0086979,            0.002736,           0.0022389,            0.002872,            0.002872,            0.002872
                  38,            0.017599,           0.0096765,           0.0059563,             0.97436,             0.98473,             0.99094,             0.94636,           0.0085168,           0.0027074,           0.0023037,            0.002674,            0.002674,            0.002674
                  39,            0.017116,           0.0096671,           0.0057187,             0.97159,             0.98759,              0.9918,             0.94718,           0.0085032,           0.0026679,           0.0020857,            0.002476,            0.002476,            0.002476
                  40,            0.016972,           0.0094927,           0.0050602,             0.97809,             0.98727,             0.99211,             0.95129,           0.0082841,           0.0026674,           0.0021885,            0.002278,            0.002278,            0.002278
                  41,            0.016132,           0.0092826,           0.0048501,             0.97745,              0.9872,             0.99207,             0.95137,           0.0081609,           0.0026257,           0.0020536,             0.00208,             0.00208,             0.00208
                  42,            0.015895,           0.0092143,           0.0049282,             0.98209,             0.98258,             0.99242,             0.95391,           0.0079834,              0.0026,           0.0019869,            0.001882,            0.001882,            0.001882
                  43,            0.015502,            0.009004,           0.0045489,             0.97919,             0.98614,             0.99214,             0.95392,           0.0080837,           0.0025976,            0.002027,            0.001684,            0.001684,            0.001684
                  44,            0.015055,           0.0089912,            0.004408,              0.9823,             0.98465,             0.99272,             0.95548,           0.0079045,           0.0025348,           0.0019422,            0.001486,            0.001486,            0.001486
                  45,            0.014419,           0.0088073,           0.0038886,             0.97968,             0.98719,             0.99231,             0.95515,           0.0079143,           0.0025452,           0.0018638,            0.001288,            0.001288,            0.001288
                  46,            0.013943,           0.0086969,           0.0036858,             0.98195,             0.98547,             0.99258,             0.95767,           0.0078303,           0.0025028,           0.0018072,             0.00109,             0.00109,             0.00109
                  47,            0.013456,            0.008606,           0.0036619,             0.98107,             0.98606,              0.9928,             0.95878,           0.0078269,           0.0024945,           0.0017719,            0.000892,            0.000892,            0.000892
                  48,            0.013195,           0.0085021,           0.0038197,             0.98354,             0.98594,             0.99284,             0.95993,           0.0077319,            0.002465,           0.0016668,            0.000694,            0.000694,            0.000694
                  49,            0.012586,           0.0083348,           0.0031817,              0.9827,             0.98727,             0.99279,             0.96041,           0.0077085,           0.0024573,           0.0015809,            0.000496,            0.000496,            0.000496
